Feature,NB_score,RF_importance
Application mode,326.5485129732978,0.034006342240806044
Curricular units 2nd sem (grade),323.9523649232923,0.1176427246719192
Curricular units 2nd sem (approved),280.14892781434776,0.14661789811977313
Course,211.60876876033814,0.05132092468048015
Curricular units 1st sem (approved),196.59246151201597,0.08730540111174402
Curricular units 1st sem (grade),193.91798154055456,0.07845010904246352
Mother's occupation,160.75721755469903,0.041814138991775544
Father's occupation,126.14282108250082,0.043931781598418866
Age at enrollment,58.36277437941816,0.049196838501538706
Previous qualification,26.481954628845514,0.00937348795020625
Curricular units 2nd sem (evaluations),26.217477181668297,0.05035115688184549
Scholarship holder,24.37933049994588,0.027266788627553898
Mother's qualification,22.585085659873155,0.03539296536542696
Debtor,20.408798851665612,0.010720529146512928
Curricular units 1st sem (evaluations),14.61350388939966,0.045215618913744274
Gender,12.239144354351861,0.012755081798764719
Curricular units 2nd sem (without evaluations),9.776530979691756,0.006469619508388312
Admission grade,9.65766225574342,0.06325847838639374
Curricular units 2nd sem (enrolled),8.228854970818425,0.03607970296450507
Tuition fees up to date,8.207360156315431,0.05283041149773917
